nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
406523
Epoch  5 | Batch 570/1016 | Time/Batch(ms) 135.18 | Train Loss 0.7522 | lr  0.001
Epoch  5 | Batch 600/1016 | Time/Batch(ms) 139.39 | Train Loss 0.7425 | lr  0.001
Epoch  5 | Batch 630/1016 | Time/Batch(ms) 131.73 | Train Loss 0.7541 | lr  0.001
Epoch  5 | Batch 660/1016 | Time/Batch(ms) 134.22 | Train Loss 0.7148 | lr  0.001
Epoch  5 | Batch 690/1016 | Time/Batch(ms) 137.77 | Train Loss 0.7112 | lr  0.001
Epoch  5 | Batch 720/1016 | Time/Batch(ms) 130.13 | Train Loss 0.7401 | lr  0.001
Epoch  5 | Batch 750/1016 | Time/Batch(ms) 157.12 | Train Loss 0.8194 | lr  0.001
Epoch  5 | Batch 780/1016 | Time/Batch(ms) 134.18 | Train Loss 0.7597 | lr  0.001
Epoch  5 | Batch 810/1016 | Time/Batch(ms) 149.42 | Train Loss 0.7163 | lr  0.001
Epoch  5 | Batch 840/1016 | Time/Batch(ms) 130.06 | Train Loss 0.7992 | lr  0.001
Epoch  5 | Batch 870/1016 | Time/Batch(ms) 132.83 | Train Loss 0.7150 | lr  0.001
Epoch  5 | Batch 900/1016 | Time/Batch(ms) 128.33 | Train Loss 0.6818 | lr  0.001
Epoch  5 | Batch 930/1016 | Time/Batch(ms) 130.19 | Train Loss 0.7879 | lr  0.001
Epoch  5 | Batch 960/1016 | Time/Batch(ms) 128.99 | Train Loss 0.8203 | lr  0.001
Epoch  5 | Batch 990/1016 | Time/Batch(ms) 135.53 | Train Loss 0.7873 | lr  0.001
--------------------------------------------------
Epoch  5 | Time 154.1790 sec | Valid Loss 0.6984 | Test Loss 0.7557 | f1 0.6642392470475106 | acc 0.7049723756906078 | mae 0.7556741833686829 | corr 0.47214031159421976 | mult_a7 0.4189101873788499 | mult_a5 0.4258022830066767 | mult_a2 0.658625888434202
--------------------------------------------------
Epoch  6 | Batch  30/1016 | Time/Batch(ms) 134.86 | Train Loss 0.7725 | lr  0.001
Epoch  6 | Batch  60/1016 | Time/Batch(ms) 132.36 | Train Loss 0.7330 | lr  0.001
Epoch  6 | Batch  90/1016 | Time/Batch(ms) 138.68 | Train Loss 0.7282 | lr  0.001
Epoch  6 | Batch 120/1016 | Time/Batch(ms) 123.51 | Train Loss 0.7592 | lr  0.001
Epoch  6 | Batch 150/1016 | Time/Batch(ms) 120.78 | Train Loss 0.7314 | lr  0.001
Epoch  6 | Batch 180/1016 | Time/Batch(ms) 122.81 | Train Loss 0.7681 | lr  0.001
Epoch  6 | Batch 210/1016 | Time/Batch(ms) 128.16 | Train Loss 0.7515 | lr  0.001
Epoch  6 | Batch 240/1016 | Time/Batch(ms) 122.59 | Train Loss 0.7465 | lr  0.001
Epoch  6 | Batch 270/1016 | Time/Batch(ms) 125.53 | Train Loss 0.7737 | lr  0.001
Epoch  6 | Batch 300/1016 | Time/Batch(ms) 122.61 | Train Loss 0.7396 | lr  0.001
Epoch  6 | Batch 330/1016 | Time/Batch(ms) 130.94 | Train Loss 0.7252 | lr  0.001
Epoch  6 | Batch 360/1016 | Time/Batch(ms) 141.93 | Train Loss 0.7052 | lr  0.001
Epoch  6 | Batch 390/1016 | Time/Batch(ms) 129.88 | Train Loss 0.7683 | lr  0.001
Epoch  6 | Batch 420/1016 | Time/Batch(ms) 124.31 | Train Loss 0.7159 | lr  0.001
Epoch  6 | Batch 450/1016 | Time/Batch(ms) 132.76 | Train Loss 0.7440 | lr  0.001
Epoch  6 | Batch 480/1016 | Time/Batch(ms) 130.98 | Train Loss 0.7499 | lr  0.001
Epoch  6 | Batch 510/1016 | Time/Batch(ms) 134.18 | Train Loss 0.6809 | lr  0.001
Epoch  6 | Batch 540/1016 | Time/Batch(ms) 135.30 | Train Loss 0.7642 | lr  0.001
Epoch  6 | Batch 570/1016 | Time/Batch(ms) 149.77 | Train Loss 0.7397 | lr  0.001
Epoch  6 | Batch 600/1016 | Time/Batch(ms) 140.18 | Train Loss 0.7642 | lr  0.001
Epoch  6 | Batch 630/1016 | Time/Batch(ms) 127.83 | Train Loss 0.7122 | lr  0.001
Epoch  6 | Batch 660/1016 | Time/Batch(ms) 148.42 | Train Loss 0.7798 | lr  0.001
Epoch  6 | Batch 690/1016 | Time/Batch(ms) 132.22 | Train Loss 0.7408 | lr  0.001
Epoch  6 | Batch 720/1016 | Time/Batch(ms) 133.80 | Train Loss 0.7396 | lr  0.001
Epoch  6 | Batch 750/1016 | Time/Batch(ms) 148.27 | Train Loss 0.7427 | lr  0.001
Epoch  6 | Batch 780/1016 | Time/Batch(ms) 138.37 | Train Loss 0.7896 | lr  0.001
Epoch  6 | Batch 810/1016 | Time/Batch(ms) 132.24 | Train Loss 0.7210 | lr  0.001
Epoch  6 | Batch 840/1016 | Time/Batch(ms) 153.76 | Train Loss 0.7365 | lr  0.001
Epoch  6 | Batch 870/1016 | Time/Batch(ms) 130.51 | Train Loss 0.7457 | lr  0.001
Epoch  6 | Batch 900/1016 | Time/Batch(ms) 130.59 | Train Loss 0.6802 | lr  0.001
Epoch  6 | Batch 930/1016 | Time/Batch(ms) 134.98 | Train Loss 0.7906 | lr  0.001
Epoch  6 | Batch 960/1016 | Time/Batch(ms) 128.75 | Train Loss 0.7552 | lr  0.001
Epoch  6 | Batch 990/1016 | Time/Batch(ms) 139.99 | Train Loss 0.7340 | lr  0.001
--------------------------------------------------
Epoch  6 | Time 151.4944 sec | Valid Loss 0.6879 | Test Loss 0.7335 | f1 0.7035456373018094 | acc 0.7251381215469613 | mae 0.7334888577461243 | corr 0.4820635810840204 | mult_a7 0.44023260822743915 | mult_a5 0.4469093258668964 | mult_a2 0.6840404910618135
--------------------------------------------------
Epoch  7 | Batch  30/1016 | Time/Batch(ms) 164.92 | Train Loss 0.6503 | lr  0.001
Epoch  7 | Batch  60/1016 | Time/Batch(ms) 161.23 | Train Loss 0.7438 | lr  0.001
Epoch  7 | Batch  90/1016 | Time/Batch(ms) 155.50 | Train Loss 0.7260 | lr  0.001
Epoch  7 | Batch 120/1016 | Time/Batch(ms) 154.91 | Train Loss 0.7525 | lr  0.001
Epoch  7 | Batch 150/1016 | Time/Batch(ms) 158.39 | Train Loss 0.7111 | lr  0.001
Epoch  7 | Batch 180/1016 | Time/Batch(ms) 138.55 | Train Loss 0.7359 | lr  0.001
Epoch  7 | Batch 210/1016 | Time/Batch(ms) 134.25 | Train Loss 0.7196 | lr  0.001
Epoch  7 | Batch 240/1016 | Time/Batch(ms) 132.07 | Train Loss 0.7587 | lr  0.001
Epoch  7 | Batch 270/1016 | Time/Batch(ms) 136.90 | Train Loss 0.7335 | lr  0.001
Epoch  7 | Batch 300/1016 | Time/Batch(ms) 135.34 | Train Loss 0.7385 | lr  0.001
Epoch  7 | Batch 330/1016 | Time/Batch(ms) 134.17 | Train Loss 0.7492 | lr  0.001
Epoch  7 | Batch 360/1016 | Time/Batch(ms) 134.30 | Train Loss 0.7234 | lr  0.001
Epoch  7 | Batch 390/1016 | Time/Batch(ms) 132.76 | Train Loss 0.6674 | lr  0.001
Epoch  7 | Batch 420/1016 | Time/Batch(ms) 133.73 | Train Loss 0.7052 | lr  0.001
Epoch  7 | Batch 450/1016 | Time/Batch(ms) 126.75 | Train Loss 0.7467 | lr  0.001
Epoch  7 | Batch 480/1016 | Time/Batch(ms) 130.82 | Train Loss 0.6862 | lr  0.001
Epoch  7 | Batch 510/1016 | Time/Batch(ms) 135.11 | Train Loss 0.8148 | lr  0.001
Epoch  7 | Batch 540/1016 | Time/Batch(ms) 128.28 | Train Loss 0.7806 | lr  0.001
Epoch  7 | Batch 570/1016 | Time/Batch(ms) 132.10 | Train Loss 0.7537 | lr  0.001
Epoch  7 | Batch 600/1016 | Time/Batch(ms) 135.79 | Train Loss 0.7424 | lr  0.001
Epoch  7 | Batch 630/1016 | Time/Batch(ms) 143.97 | Train Loss 0.7290 | lr  0.001
Epoch  7 | Batch 660/1016 | Time/Batch(ms) 146.66 | Train Loss 0.7666 | lr  0.001
Epoch  7 | Batch 690/1016 | Time/Batch(ms) 151.15 | Train Loss 0.7896 | lr  0.001
Epoch  7 | Batch 720/1016 | Time/Batch(ms) 142.63 | Train Loss 0.7424 | lr  0.001
Epoch  7 | Batch 750/1016 | Time/Batch(ms) 132.74 | Train Loss 0.7410 | lr  0.001
