nohup: 忽略输入
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
Finish loading the data....
### Note: You are running in unaligned mode.
406523
Epoch  4 | Batch  90/1020 | Time/Batch(ms) 229.26 | Train Loss 0.7570 | lr  0.001
Epoch  4 | Batch 120/1020 | Time/Batch(ms) 236.17 | Train Loss 0.7781 | lr  0.001
Epoch  4 | Batch 150/1020 | Time/Batch(ms) 247.76 | Train Loss 0.7542 | lr  0.001
Epoch  4 | Batch 180/1020 | Time/Batch(ms) 234.94 | Train Loss 0.8518 | lr  0.001
Epoch  4 | Batch 210/1020 | Time/Batch(ms) 229.75 | Train Loss 0.8601 | lr  0.001
Epoch  4 | Batch 240/1020 | Time/Batch(ms) 231.40 | Train Loss 0.8027 | lr  0.001
Epoch  4 | Batch 270/1020 | Time/Batch(ms) 231.28 | Train Loss 0.7477 | lr  0.001
Epoch  4 | Batch 300/1020 | Time/Batch(ms) 229.93 | Train Loss 0.7451 | lr  0.001
Epoch  4 | Batch 330/1020 | Time/Batch(ms) 229.10 | Train Loss 0.7669 | lr  0.001
Epoch  4 | Batch 360/1020 | Time/Batch(ms) 230.36 | Train Loss 0.7561 | lr  0.001
Epoch  4 | Batch 390/1020 | Time/Batch(ms) 225.19 | Train Loss 0.7815 | lr  0.001
Epoch  4 | Batch 420/1020 | Time/Batch(ms) 230.70 | Train Loss 0.7920 | lr  0.001
Epoch  4 | Batch 450/1020 | Time/Batch(ms) 229.86 | Train Loss 0.7862 | lr  0.001
Epoch  4 | Batch 480/1020 | Time/Batch(ms) 228.58 | Train Loss 0.8193 | lr  0.001
Epoch  4 | Batch 510/1020 | Time/Batch(ms) 230.99 | Train Loss 0.7612 | lr  0.001
Epoch  4 | Batch 540/1020 | Time/Batch(ms) 227.87 | Train Loss 0.8219 | lr  0.001
Epoch  4 | Batch 570/1020 | Time/Batch(ms) 229.91 | Train Loss 0.8171 | lr  0.001
Epoch  4 | Batch 600/1020 | Time/Batch(ms) 229.93 | Train Loss 0.7676 | lr  0.001
Epoch  4 | Batch 630/1020 | Time/Batch(ms) 227.55 | Train Loss 0.8219 | lr  0.001
Epoch  4 | Batch 660/1020 | Time/Batch(ms) 228.89 | Train Loss 0.7224 | lr  0.001
Epoch  4 | Batch 690/1020 | Time/Batch(ms) 231.56 | Train Loss 0.8669 | lr  0.001
Epoch  4 | Batch 720/1020 | Time/Batch(ms) 226.64 | Train Loss 0.8006 | lr  0.001
Epoch  4 | Batch 750/1020 | Time/Batch(ms) 231.10 | Train Loss 0.7710 | lr  0.001
Epoch  4 | Batch 780/1020 | Time/Batch(ms) 229.32 | Train Loss 0.7532 | lr  0.001
Epoch  4 | Batch 810/1020 | Time/Batch(ms) 228.41 | Train Loss 0.8032 | lr  0.001
Epoch  4 | Batch 840/1020 | Time/Batch(ms) 226.01 | Train Loss 0.7509 | lr  0.001
Epoch  4 | Batch 870/1020 | Time/Batch(ms) 230.88 | Train Loss 0.7733 | lr  0.001
Epoch  4 | Batch 900/1020 | Time/Batch(ms) 231.21 | Train Loss 0.7100 | lr  0.001
Epoch  4 | Batch 930/1020 | Time/Batch(ms) 226.42 | Train Loss 0.8509 | lr  0.001
Epoch  4 | Batch 960/1020 | Time/Batch(ms) 230.61 | Train Loss 0.7993 | lr  0.001
Epoch  4 | Batch 990/1020 | Time/Batch(ms) 231.27 | Train Loss 0.7431 | lr  0.001
Epoch  4 | Batch 1020/1020 | Time/Batch(ms) 232.31 | Train Loss 0.7626 | lr  0.001
--------------------------------------------------
Epoch  4 | Time 275.6652 sec | Valid Loss 0.7471 | Test Loss 0.8162 | f1 0.7200374680560718 | acc 0.7336268574573472 | mae 0.8161600828170776 | corr 0.46770743606745063 | mult_a7 0.36982185018244257 | mult_a5 0.3717535951921013 | mult_a2 0.6473492165700794
--------------------------------------------------
Epoch  5 | Batch  30/1020 | Time/Batch(ms) 237.46 | Train Loss 0.7217 | lr  0.001
Epoch  5 | Batch  60/1020 | Time/Batch(ms) 231.18 | Train Loss 0.7530 | lr  0.001
Epoch  5 | Batch  90/1020 | Time/Batch(ms) 231.09 | Train Loss 0.6812 | lr  0.001
Epoch  5 | Batch 120/1020 | Time/Batch(ms) 231.54 | Train Loss 0.6803 | lr  0.001
Epoch  5 | Batch 150/1020 | Time/Batch(ms) 229.29 | Train Loss 0.7863 | lr  0.001
Epoch  5 | Batch 180/1020 | Time/Batch(ms) 232.51 | Train Loss 0.7658 | lr  0.001
Epoch  5 | Batch 210/1020 | Time/Batch(ms) 231.63 | Train Loss 0.7375 | lr  0.001
Epoch  5 | Batch 240/1020 | Time/Batch(ms) 231.45 | Train Loss 0.8063 | lr  0.001
Epoch  5 | Batch 270/1020 | Time/Batch(ms) 226.52 | Train Loss 0.7024 | lr  0.001
Epoch  5 | Batch 300/1020 | Time/Batch(ms) 231.13 | Train Loss 0.7777 | lr  0.001
Epoch  5 | Batch 330/1020 | Time/Batch(ms) 229.75 | Train Loss 0.7512 | lr  0.001
Epoch  5 | Batch 360/1020 | Time/Batch(ms) 230.45 | Train Loss 0.7450 | lr  0.001
Epoch  5 | Batch 390/1020 | Time/Batch(ms) 231.85 | Train Loss 0.7714 | lr  0.001
Epoch  5 | Batch 420/1020 | Time/Batch(ms) 228.87 | Train Loss 0.7437 | lr  0.001
Epoch  5 | Batch 450/1020 | Time/Batch(ms) 230.20 | Train Loss 0.6979 | lr  0.001
Epoch  5 | Batch 480/1020 | Time/Batch(ms) 228.72 | Train Loss 0.7407 | lr  0.001
Epoch  5 | Batch 510/1020 | Time/Batch(ms) 233.03 | Train Loss 0.7853 | lr  0.001
